linearity,leniency,performance
6,25,0.4666666666666667
6,24,1.0
22,7,1.0
24,16,1.0
24,10,1.0
23,12,1.0
20,19,0.6333333333333333
24,13,1.0
23,1,1.0
3,30,1.0
14,26,1.0
6,29,0.9333333333333333
21,10,0.9333333333333333
21,12,0.9
8,29,0.6666666666666666
11,29,1.0
3,20,1.0
7,32,1.0
12,27,0.3333333333333333
19,23,1.0
23,15,1.0
23,8,1.0
25,19,1.0
18,18,0.5
10,28,0.6
20,0,1.0
5,25,1.0
19,20,1.0
18,20,1.0
26,17,1.0
20,18,1.0
4,27,1.0
15,27,0.36666666666666664
23,17,1.0
17,21,1.0
15,25,1.0
11,28,0.5
14,28,1.0
22,8,1.0
24,7,1.0
15,24,0.7
21,21,0.39285714285714285
11,26,0.5666666666666667
18,0,1.0
23,2,1.0
14,25,1.0
5,30,1.0
6,30,1.0
8,27,0.4666666666666667
24,1,1.0
1,15,1.0
15,26,0.5666666666666667
22,6,1.0
16,28,0.5
20,20,1.0
27,10,1.0
12,30,0.36666666666666664
23,0,1.0
6,27,0.43333333333333335
13,27,0.4
6,34,1.0
7,28,1.0
13,25,0.4666666666666667
26,15,1.0
2,19,1.0
24,9,1.0
6,28,1.0
3,27,1.0
1,16,1.0
11,27,0.6333333333333333
17,25,1.0
23,6,1.0
9,29,1.0
16,26,1.0
21,20,0.7333333333333333
10,30,0.37037037037037035
1,18,1.0
23,5,1.0
6,32,0.6
22,4,1.0
16,27,0.4
21,17,1.0
6,31,0.6333333333333333
4,34,1.0
4,28,0.5666666666666667
13,28,0.3333333333333333
2,18,1.0
11,30,0.4
19,19,0.6
7,31,1.0
5,31,1.0
6,33,1.0
17,26,0.3333333333333333
14,29,0.43333333333333335
19,24,0.3333333333333333
26,16,1.0
23,22,0.3793103448275862
20,23,0.42857142857142855
13,29,1.0
26,13,1.0
22,0,1.0
25,13,1.0
3,29,1.0
4,31,1.0
1,17,1.0
12,28,1.0
22,19,0.36666666666666664
7,29,1.0
22,22,0.8666666666666667
25,15,1.0
5,32,1.0
3,25,1.0
25,7,1.0
4,33,1.0
15,29,0.4666666666666667
5,29,1.0
21,0,1.0
8,31,1.0
24,2,1.0
23,18,1.0
10,29,0.4
9,31,0.4666666666666667
22,20,0.3793103448275862
25,12,1.0
24,5,1.0
27,12,1.0
8,30,1.0
25,21,0.36666666666666664
14,27,0.3793103448275862
17,27,0.4444444444444444
22,3,1.0
14,30,0.36666666666666664
27,9,1.0
28,18,1.0
26,12,1.0
12,29,0.3333333333333333
21,22,0.43333333333333335
25,22,0.3333333333333333
28,13,1.0
27,18,1.0
8,32,1.0
23,21,0.3333333333333333
23,4,1.0
23,19,0.7
21,23,0.36666666666666664
24,21,0.4
13,30,0.36666666666666664
20,22,0.43333333333333335
4,32,1.0
23,20,0.43333333333333335
1,19,1.0
26,18,1.0
19,26,0.3333333333333333
1,20,1.0
28,11,1.0
18,26,0.36666666666666664
25,18,1.0
27,17,1.0
25,6,1.0
19,27,0.5666666666666667
26,1,1.0
22,21,0.43333333333333335
24,0,1.0
10,31,0.3333333333333333
15,28,0.35714285714285715
26,14,1.0
25,2,1.0
24,4,1.0
3,28,1.0
17,29,0.3793103448275862
24,22,0.5333333333333333
26,0,1.0
27,11,1.0
25,8,1.0
0,18,1.0
27,15,1.0
0,19,1.0
3,32,1.0
2,23,1.0
27,16,1.0
3,26,0.6551724137931034
0,20,1.0
2,30,0.4482758620689655
2,21,1.0
25,20,1.0
25,3,1.0
24,20,0.4
26,4,1.0
24,8,1.0
24,19,0.4
26,8,1.0
24,23,0.36666666666666664
11,33,0.4
18,28,0.43333333333333335
16,30,0.41379310344827586
29,19,1.0
26,3,1.0
20,26,0.36666666666666664
3,34,1.0
11,31,0.36666666666666664
25,4,1.0
20,24,0.5
3,31,1.0
17,28,0.5333333333333333
1,21,1.0
5,33,1.0
19,25,0.5666666666666667
25,1,1.0
2,22,1.0
2,24,1.0
16,29,0.3793103448275862
12,31,1.0
26,5,1.0
0,21,1.0
26,6,1.0
27,13,1.0
27,8,1.0
16,31,0.43333333333333335
26,10,1.0
28,12,1.0
21,24,0.4482758620689655
23,23,0.4
10,32,0.36666666666666664
18,27,0.4
13,31,0.3793103448275862
22,23,0.4
23,24,0.6
11,32,0.41379310344827586
26,9,1.0
12,32,0.5
25,5,1.0
2,28,0.6206896551724138
25,0,1.0
10,33,0.36666666666666664
14,31,0.4666666666666667
27,14,1.0
2,29,1.0
5,34,1.0
26,2,1.0
28,9,1.0
7,34,1.0
2,27,0.7666666666666667
9,32,0.43333333333333335
27,1,1.0
22,25,0.4
25,23,0.36666666666666664
2,25,1.0
28,10,1.0
26,7,1.0
20,25,0.43333333333333335
27,6,1.0
27,3,1.0
21,25,0.36666666666666664
28,14,1.0
27,2,1.0
15,31,0.5666666666666667
8,33,0.3448275862068966
17,30,0.36666666666666664
15,30,0.36666666666666664
9,33,0.4
17,31,0.4
3,33,1.0
28,16,1.0
29,12,1.0
22,24,0.4
27,7,1.0
0,22,1.0
29,18,1.0
1,22,1.0
7,33,0.3333333333333333
29,17,1.0
28,4,1.0
27,5,1.0
2,26,1.0
0,23,1.0
1,23,1.0
0,24,1.0
1,25,1.0
27,4,1.0
2,31,0.43333333333333335
14,32,0.4
1,24,1.0
28,8,1.0
8,34,0.3333333333333333
28,3,1.0
28,19,1.0
13,32,0.4
26,19,1.0
21,26,0.36666666666666664
20,27,0.43333333333333335
29,11,1.0
28,7,1.0
21,28,0.4666666666666667
28,2,1.0
18,29,0.4
27,19,1.0
18,30,0.5666666666666667
24,24,0.5333333333333333
28,15,1.0
19,28,0.4666666666666667
28,1,1.0
4,35,1.0
1,27,1.0
19,29,0.4666666666666667
29,16,1.0
29,10,1.0
20,28,0.4666666666666667
22,27,0.4666666666666667
1,26,1.0
1,28,1.0
12,33,0.43333333333333335
29,15,1.0
20,30,0.4666666666666667
18,31,0.4
0,27,0.4
1,29,0.5666666666666667
0,26,1.0
28,0,1.0
19,30,0.5
0,25,1.0
27,0,1.0
28,6,1.0
22,26,0.4666666666666667
0,28,1.0
21,27,0.4482758620689655
20,29,0.4666666666666667
28,21,1.0
5,35,1.0
26,21,1.0
26,20,1.0
27,20,1.0
28,20,1.0
26,22,1.0
29,20,1.0
29,9,1.0
30,19,1.0
2,32,1.0
22,28,0.4666666666666667
